game_id,model_name,total_projection,home_line_proj,spread_pick,total_pick,spread_edge,total_edge,parlay_edge_score
0012500017,MonkeyDarts_v2,,,,,,,
0012500018,FatiguePlus_v3,233.275,4.2625,,,,,
0012500018,InjuryModel_v2,233.5,4.0,,,,,
0012500018,Joel_Baseline_v1,233.5,4.0,,,,,
0012500018,MarketBlend_v1,,,,,,,
0012500018,MarketPressure_v2,233.5,4.0,,,,,
0012500018,Momentum5Game_v1,,,,,,,
0012500018,MonkeyDarts_v2,238.17206115174707,-4.4760417923609275,,,,,
0012500019,FatiguePlus_v3,,,,,,,
0012500019,InjuryModel_v2,,,,,,,
0012500019,Joel_Baseline_v1,,,,,,,
0012500019,MarketBlend_v1,,,,,,,
0012500019,MarketPressure_v2,,,,,,,
0012500019,Momentum5Game_v1,,,,,,,
0012500019,MonkeyDarts_v2,,,,,,,
0012500020,FatiguePlus_v3,,,,,,,
0012500020,InjuryModel_v2,,,,,,,
0012500020,Joel_Baseline_v1,,,,,,,
0012500020,MarketBlend_v1,,,,,,,
0012500020,MarketPressure_v2,,,,,,,
0012500020,Momentum5Game_v1,,,,,,,
0012500020,MonkeyDarts_v2,,,,,,,
0012500021,FatiguePlus_v3,243.9,-6.2,,,,,
0012500021,InjuryModel_v2,244.5,-5.5,,,,,
0012500021,Joel_Baseline_v1,244.5,-5.5,,,,,
0012500021,MarketBlend_v1,,,,,,,
0012500021,MarketPressure_v2,244.5,-5.5,,,,,
0012500021,Momentum5Game_v1,,,,,,,
0012500021,MonkeyDarts_v2,246.7043268419849,-11.339315348676475,,,,,
0012500022,FatiguePlus_v3,,,,,,,
0012500022,InjuryModel_v2,,,,,,,
0012500022,Joel_Baseline_v1,,,,,,,
0012500022,MarketBlend_v1,,,,,,,
0012500022,MarketPressure_v2,,,,,,,
0012500022,Momentum5Game_v1,,,,,,,
0012500022,MonkeyDarts_v2,,,,,,,
0012500023,FatiguePlus_v3,,,,,,,
0012500023,InjuryModel_v2,,,,,,,
0012500023,Joel_Baseline_v1,,,,,,,
0012500023,MarketBlend_v1,,,,,,,
0012500023,MarketPressure_v2,,,,,,,
0012500023,Momentum5Game_v1,,,,,,,
0012500023,MonkeyDarts_v2,,,,,,,
0012500024,FatiguePlus_v3,246.945,0.0625,,,,,
0012500024,InjuryModel_v2,247.5,0.5,,,,,
0012500024,Joel_Baseline_v1,247.5,0.5,,,,,
0012500024,MarketBlend_v1,,,,,,,
0012500024,MarketPressure_v2,247.5,0.5,,,,,
0012500024,Momentum5Game_v1,,,,,,,
0012500024,MonkeyDarts_v2,239.20016051970404,-7.0040724965617756,,,,,
0012500025,FatiguePlus_v3,232.945,3.0625,,,,,
0012500025,InjuryModel_v2,233.5,3.5,,,,,
0012500025,Joel_Baseline_v1,233.5,3.5,,,,,
0012500025,MarketBlend_v1,,,,,,,
0012500025,MarketPressure_v2,233.5,3.5,,,,,
0012500025,Momentum5Game_v1,,,,,,,
0012500025,MonkeyDarts_v2,239.42719500832473,6.691221809915426,,,,,
0012500027,FatiguePlus_v3,,,,,,,
0012500027,InjuryModel_v2,,,,,,,
0012500027,Joel_Baseline_v1,,,,,,,
0012500027,MarketBlend_v1,,,,,,,
0012500027,MarketPressure_v2,,,,,,,
0012500027,Momentum5Game_v1,,,,,,,
0012500027,MonkeyDarts_v2,,,,,,,
0012500028,FatiguePlus_v3,,,,,,,
0012500028,InjuryModel_v2,,,,,,,
0012500028,Joel_Baseline_v1,,,,,,,
0012500028,MarketBlend_v1,,,,,,,
0012500028,MarketPressure_v2,,,,,,,
0012500028,Momentum5Game_v1,,,,,,,
0012500028,MonkeyDarts_v2,,,,,,,
0012500029,FatiguePlus_v3,,,,,,,
0012500029,InjuryModel_v2,,,,,,,
0012500029,Joel_Baseline_v1,,,,,,,
0012500029,MarketBlend_v1,,,,,,,
0012500029,MarketPressure_v2,,,,,,,
0012500029,Momentum5Game_v1,,,,,,,
0012500029,MonkeyDarts_v2,,,,,,,
0012500030,FatiguePlus_v3,,,,,,,
0012500030,InjuryModel_v2,,,,,,,
0012500030,Joel_Baseline_v1,,,,,,,
0012500030,MarketBlend_v1,,,,,,,
0012500030,MarketPressure_v2,,,,,,,
0012500030,Momentum5Game_v1,,,,,,,
0012500030,MonkeyDarts_v2,,,,,,,
0012500031,FatiguePlus_v3,,,,,,,
0012500031,InjuryModel_v2,,,,,,,
0012500031,Joel_Baseline_v1,,,,,,,
0012500031,MarketBlend_v1,,,,,,,
0012500031,MarketPressure_v2,,,,,,,
0012500031,Momentum5Game_v1,,,,,,,
0012500031,MonkeyDarts_v2,,,,,,,
0012500033,FatiguePlus_v3,,,,,,,
0012500033,InjuryModel_v2,,,,,,,
0012500033,Joel_Baseline_v1,,,,,,,
0012500033,MarketBlend_v1,,,,,,,
0012500033,MarketPressure_v2,,,,,,,
0012500033,Momentum5Game_v1,,,,,,,
0012500033,MonkeyDarts_v2,,,,,,,
0012500034,FatiguePlus_v3,,,,,,,
0012500034,InjuryModel_v2,,,,,,,
0012500034,Joel_Baseline_v1,,,,,,,
0012500034,MarketBlend_v1,,,,,,,
0012500034,MarketPressure_v2,,,,,,,
0012500034,Momentum5Game_v1,,,,,,,
0012500034,MonkeyDarts_v2,,,,,,,
0012500035,FatiguePlus_v3,,,,,,,
0012500035,InjuryModel_v2,,,,,,,
0012500035,Joel_Baseline_v1,,,,,,,
0012500035,MarketBlend_v1,,,,,,,
0012500035,MarketPressure_v2,,,,,,,
0012500035,Momentum5Game_v1,,,,,,,
0012500035,MonkeyDarts_v2,,,,,,,
0012500036,FatiguePlus_v3,,,,,,,
0012500036,InjuryModel_v2,,,,,,,
0012500036,Joel_Baseline_v1,,,,,,,
0012500036,MarketBlend_v1,,,,,,,
0012500036,MarketPressure_v2,,,,,,,
0012500036,Momentum5Game_v1,,,,,,,
0012500036,MonkeyDarts_v2,,,,,,,
0012500037,FatiguePlus_v3,,,,,,,
0012500037,InjuryModel_v2,,,,,,,
0012500037,Joel_Baseline_v1,,,,,,,
0012500037,MarketBlend_v1,,,,,,,
0012500037,MarketPressure_v2,,,,,,,
0012500037,Momentum5Game_v1,,,,,,,
0012500037,MonkeyDarts_v2,,,,,,,
0012500038,FatiguePlus_v3,,,,,,,
0012500038,InjuryModel_v2,,,,,,,
0012500038,Joel_Baseline_v1,,,,,,,
0012500038,MarketBlend_v1,,,,,,,
0012500038,MarketPressure_v2,,,,,,,
0012500038,Momentum5Game_v1,,,,,,,
0012500038,MonkeyDarts_v2,,,,,,,
0012500039,FatiguePlus_v3,211.48,-3.2,,,,,
0012500039,InjuryModel_v2,212.5,-2.5,,,,,
0012500039,Joel_Baseline_v1,212.5,-2.5,,,,,
0012500039,MarketBlend_v1,,,,,,,
0012500039,MarketPressure_v2,212.5,-2.5,,,,,
0012500039,Momentum5Game_v1,,,,,,,
0012500039,MonkeyDarts_v2,218.36518037116224,-8.610034480768164,,,,,
0012500040,FatiguePlus_v3,,,,,,,
0012500040,InjuryModel_v2,,,,,,,
0012500040,Joel_Baseline_v1,,,,,,,
0012500040,MarketBlend_v1,,,,,,,
0012500040,MarketPressure_v2,,,,,,,
0012500040,Momentum5Game_v1,,,,,,,
0012500040,MonkeyDarts_v2,,,,,,,
0012500041,FatiguePlus_v3,,,,,,,
0012500041,InjuryModel_v2,,,,,,,
0012500041,Joel_Baseline_v1,,,,,,,
0012500041,MarketBlend_v1,,,,,,,
0012500041,MarketPressure_v2,,,,,,,
0012500041,Momentum5Game_v1,,,,,,,
0012500041,MonkeyDarts_v2,,,,,,,
0012500042,FatiguePlus_v3,,,,,,,
0012500042,InjuryModel_v2,,,,,,,
0012500042,Joel_Baseline_v1,,,,,,,
0012500042,MarketBlend_v1,,,,,,,
0012500042,MarketPressure_v2,,,,,,,
0012500042,Momentum5Game_v1,,,,,,,
0012500042,MonkeyDarts_v2,,,,,,,
0012500044,FatiguePlus_v3,221.52,11.0,,,,,
0012500044,InjuryModel_v2,222.0,11.0,,,,,
0012500044,Joel_Baseline_v1,222.0,11.0,,,,,
0012500044,MarketBlend_v1,,,,,,,
0012500044,MarketPressure_v2,222.0,11.0,,,,,
0012500044,Momentum5Game_v1,,,,,,,
0012500044,MonkeyDarts_v2,218.5049539477468,3.786873415913842,,,,,
0012500045,FatiguePlus_v3,,,,,,,
0012500045,InjuryModel_v2,,,,,,,
0012500045,Joel_Baseline_v1,,,,,,,
0012500045,MarketBlend_v1,,,,,,,
0012500045,MarketPressure_v2,,,,,,,
0012500045,Momentum5Game_v1,,,,,,,
0012500045,MonkeyDarts_v2,,,,,,,
0012500046,FatiguePlus_v3,,,,,,,
0012500046,InjuryModel_v2,,,,,,,
0012500046,Joel_Baseline_v1,,,,,,,
0012500046,MarketBlend_v1,,,,,,,
0012500046,MarketPressure_v2,,,,,,,
0012500046,Momentum5Game_v1,,,,,,,
0012500046,MonkeyDarts_v2,,,,,,,
0012500047,FatiguePlus_v3,215.9,-12.2,,,,,
0012500047,InjuryModel_v2,216.5,-11.5,,,,,
0012500047,Joel_Baseline_v1,216.5,-11.5,,,,,
0012500047,MarketBlend_v1,,,,,,,
0012500047,MarketPressure_v2,216.5,-11.5,,,,,
0012500047,Momentum5Game_v1,,,,,,,
0012500047,MonkeyDarts_v2,210.14613994504762,-13.415575561768069,,,,,
0012500048,FatiguePlus_v3,,,,,,,
0012500048,InjuryModel_v2,,,,,,,
0012500048,Joel_Baseline_v1,,,,,,,
0012500048,MarketBlend_v1,,,,,,,
0012500048,MarketPressure_v2,,,,,,,
0012500048,Momentum5Game_v1,,,,,,,
0012500048,MonkeyDarts_v2,,,,,,,
0012500049,FatiguePlus_v3,,,,,,,
0012500049,InjuryModel_v2,,,,,,,
0012500049,Joel_Baseline_v1,,,,,,,
0012500049,MarketBlend_v1,,,,,,,
0012500049,MarketPressure_v2,,,,,,,
0012500049,Momentum5Game_v1,,,,,,,
0012500049,MonkeyDarts_v2,,,,,,,
0012500050,FatiguePlus_v3,,,,,,,
0012500050,InjuryModel_v2,,,,,,,
0012500050,Joel_Baseline_v1,,,,,,,
0012500050,MarketBlend_v1,,,,,,,
0012500050,MarketPressure_v2,,,,,,,
0012500050,Momentum5Game_v1,,,,,,,
0012500050,MonkeyDarts_v2,,,,,,,
0012500051,FatiguePlus_v3,213.32,1.5,,,,,
0012500051,InjuryModel_v2,213.5,1.5,,,,,
0012500051,Joel_Baseline_v1,213.5,1.5,,,,,
0012500051,MarketBlend_v1,,,,,,,
0012500051,MarketPressure_v2,213.5,1.5,,,,,
0012500051,Momentum5Game_v1,,,,,,,
0012500051,MonkeyDarts_v2,218.44399786902486,9.9046911026659,,,,,
0012500052,FatiguePlus_v3,,,,,,,
0012500052,InjuryModel_v2,,,,,,,
0012500052,Joel_Baseline_v1,,,,,,,
0012500052,MarketBlend_v1,,,,,,,
0012500052,MarketPressure_v2,,,,,,,
0012500052,Momentum5Game_v1,,,,,,,
0012500052,MonkeyDarts_v2,,,,,,,
0012500053,FatiguePlus_v3,217.445,-4.5625,,,,,
0012500053,InjuryModel_v2,218.0,-5.0,,,,,
0012500053,Joel_Baseline_v1,218.0,-5.0,,,,,
0012500053,MarketBlend_v1,,,,,,,
0012500053,MarketPressure_v2,218.0,-5.0,,,,,
0012500053,Momentum5Game_v1,,,,,,,
0012500053,MonkeyDarts_v2,209.92515375380844,-13.842855608473496,,,,,
0012500054,FatiguePlus_v3,,,,,,,
0012500054,InjuryModel_v2,,,,,,,
0012500054,Joel_Baseline_v1,,,,,,,
0012500054,MarketBlend_v1,,,,,,,
0012500054,MarketPressure_v2,,,,,,,
0012500054,Momentum5Game_v1,,,,,,,
0012500054,MonkeyDarts_v2,,,,,,,
0012500056,FatiguePlus_v3,,,,,,,
0012500056,InjuryModel_v2,,,,,,,
0012500056,Joel_Baseline_v1,,,,,,,
0012500056,MarketBlend_v1,,,,,,,
0012500056,MarketPressure_v2,,,,,,,
0012500056,Momentum5Game_v1,,,,,,,
0012500056,MonkeyDarts_v2,,,,,,,
0012500057,FatiguePlus_v3,233.9,3.7,,,,,
0012500057,InjuryModel_v2,234.5,3.0,,,,,
0012500057,Joel_Baseline_v1,234.5,3.0,,,,,
0012500057,MarketBlend_v1,,,,,,,
0012500057,MarketPressure_v2,234.5,3.0,,,,,
0012500057,Momentum5Game_v1,,,,,,,
0012500057,MonkeyDarts_v2,230.40928496574617,7.66499455483693,,,,,
0012500058,FatiguePlus_v3,223.61166666666665,-4.395833333333343,,,,,
0012500058,InjuryModel_v2,224.16666666666666,-4.833333333333343,,,,,
0012500058,Joel_Baseline_v1,224.16666666666666,-4.833333333333343,,,,,
0012500058,MarketBlend_v1,,,,,,,
0012500058,MarketPressure_v2,224.16666666666666,-4.833333333333343,,,,,
0012500058,Momentum5Game_v1,,,,,,,
0012500058,MonkeyDarts_v2,218.4354261372286,-1.4892320436631028,,,,,
0012500059,FatiguePlus_v3,238.02,5.5,,,,,
0012500059,InjuryModel_v2,238.5,5.5,,,,,
0012500059,Joel_Baseline_v1,238.5,5.5,,,,,
0012500059,MarketBlend_v1,,,,,,,
0012500059,MarketPressure_v2,238.5,5.5,,,,,
0012500059,Momentum5Game_v1,,,,,,,
0012500059,MonkeyDarts_v2,234.04385527124447,0.43588142485360315,,,,,
0012500060,FatiguePlus_v3,216.52,-3.0,,,,,
0012500060,InjuryModel_v2,217.0,-3.0,,,,,
0012500060,Joel_Baseline_v1,217.0,-3.0,,,,,
0012500060,MarketBlend_v1,,,,,,,
0012500060,MarketPressure_v2,217.0,-3.0,,,,,
0012500060,Momentum5Game_v1,,,,,,,
0012500060,MonkeyDarts_v2,210.37128912651318,1.867665398473795,,,,,
0012500061,FatiguePlus_v3,,,,,,,
0012500061,InjuryModel_v2,,,,,,,
0012500061,Joel_Baseline_v1,,,,,,,
0012500061,MarketBlend_v1,,,,,,,
0012500061,MarketPressure_v2,,,,,,,
0012500061,Momentum5Game_v1,,,,,,,
0012500061,MonkeyDarts_v2,,,,,,,
0012500062,FatiguePlus_v3,241.57,-13.25,,,,,
0012500062,InjuryModel_v2,241.75,-13.25,,,,,
0012500062,Joel_Baseline_v1,241.75,-13.25,,,,,
0012500062,MarketBlend_v1,,,,,,,
0012500062,MarketPressure_v2,241.75,-13.25,,,,,
0012500062,Momentum5Game_v1,,,,,,,
0012500062,MonkeyDarts_v2,245.72614644698447,-13.590954249529004,,,,,
0012500063,FatiguePlus_v3,,,,,,,
0012500063,InjuryModel_v2,,,,,,,
0012500063,Joel_Baseline_v1,,,,,,,
0012500063,MarketBlend_v1,,,,,,,
0012500063,MarketPressure_v2,,,,,,,
0012500063,Momentum5Game_v1,,,,,,,
0012500063,MonkeyDarts_v2,,,,,,,
0012500064,FatiguePlus_v3,228.4,1.7000000000000002,,,,,
0012500064,InjuryModel_v2,229.0,1.0,,,,,
0012500064,Joel_Baseline_v1,229.0,1.0,,,,,
0012500064,MarketBlend_v1,,,,,,,
0012500064,MarketPressure_v2,229.0,1.0,,,,,
0012500064,Momentum5Game_v1,,,,,,,
0012500064,MonkeyDarts_v2,225.95300676480596,-8.997064995964083,,,,,
0012500065,FatiguePlus_v3,217.4,2.2,,,,,
0012500065,InjuryModel_v2,218.0,1.5,,,,,
0012500065,Joel_Baseline_v1,218.0,1.5,,,,,
0012500065,MarketBlend_v1,,,,,,,
0012500065,MarketPressure_v2,218.0,1.5,,,,,
0012500065,Momentum5Game_v1,,,,,,,
0012500065,MonkeyDarts_v2,213.48370307610878,-7.79223851562848,,,,,
0012500066,FatiguePlus_v3,218.0666666666667,-1.7000000000000002,,,,,
0012500066,InjuryModel_v2,218.66666666666669,-1.0,,,,,
0012500066,Joel_Baseline_v1,218.66666666666669,-1.0,,,,,
0012500066,MarketBlend_v1,,,,,,,
0012500066,MarketPressure_v2,218.66666666666669,-1.0,,,,,
0012500066,Momentum5Game_v1,,,,,,,
0012500066,MonkeyDarts_v2,212.58044217284325,-7.783364486907864,,,,,
0012500067,FatiguePlus_v3,222.82,0.0,,,,,
0012500067,InjuryModel_v2,223.0,0.0,,,,,
0012500067,Joel_Baseline_v1,223.0,0.0,,,,,
0012500067,MarketBlend_v1,,,,,,,
0012500067,MarketPressure_v2,223.0,0.0,,,,,
0012500067,Momentum5Game_v1,,,,,,,
0012500067,MonkeyDarts_v2,213.58327015407426,-3.5477327921977615,,,,,
0012500068,FatiguePlus_v3,266.5,-1.5,,,,,
0012500068,InjuryModel_v2,266.5,-1.5,,,,,
0012500068,Joel_Baseline_v1,266.5,-1.5,,,,,
0012500068,MarketBlend_v1,,,,,,,
0012500068,MarketPressure_v2,266.5,-1.5,,,,,
0012500068,Momentum5Game_v1,,,,,,,
0012500068,MonkeyDarts_v2,275.510111903016,7.553098291295715,,,,,
0012500069,FatiguePlus_v3,215.945,5.0625,,,,,
0012500069,InjuryModel_v2,216.5,5.5,,,,,
0012500069,Joel_Baseline_v1,216.5,5.5,,,,,
0012500069,MarketBlend_v1,,,,,,,
0012500069,MarketPressure_v2,216.5,5.5,,,,,
0012500069,Momentum5Game_v1,,,,,,,
0012500069,MonkeyDarts_v2,222.9651958584484,10.654022194987437,,,,,
0012500070,FatiguePlus_v3,230.5,8.5,,,,,
0012500070,InjuryModel_v2,230.5,8.5,,,,,
0012500070,Joel_Baseline_v1,230.5,8.5,,,,,
0012500070,MarketBlend_v1,,,,,,,
0012500070,MarketPressure_v2,230.5,8.5,,,,,
0012500070,Momentum5Game_v1,,,,,,,
0012500070,MonkeyDarts_v2,227.99699587421694,0.3962466306751935,,,,,
0012500071,FatiguePlus_v3,222.18333333333334,6.783333333333342,,,,,
0012500071,InjuryModel_v2,224.58333333333334,9.583333333333343,,,,,
0012500071,Joel_Baseline_v1,224.58333333333334,9.583333333333343,,,,,
0012500071,MarketBlend_v1,,,,,,,
0012500071,MarketPressure_v2,224.58333333333334,9.583333333333343,,,,,
0012500071,Momentum5Game_v1,,,,,,,
0012500071,MonkeyDarts_v2,221.35498407312687,14.311201891505986,,,,,
0022500001,FatiguePlus_v3,231.41,2.75,,,,,
0022500001,InjuryModel_v2,232.25,2.75,,,,,
0022500001,Joel_Baseline_v1,232.25,2.75,,,,,
0022500001,MarketBlend_v1,,,,,,,
0022500001,MarketPressure_v2,232.25,2.75,,,,,
0022500001,Momentum5Game_v1,,,,,,,
0022500001,MonkeyDarts_v2,239.4687505253745,7.095228040238647,,,,,
0022500002,FatiguePlus_v3,227.0,4.25,,,,,
0022500002,InjuryModel_v2,227.0,4.25,,,,,
0022500002,Joel_Baseline_v1,227.0,4.25,,,,,
0022500002,MarketBlend_v1,,,,,,,
0022500002,MarketPressure_v2,227.0,4.25,,,,,
0022500002,Momentum5Game_v1,226.7,4.3,,,,,
0022500002,MonkeyDarts_v2,224.74468415228367,4.947205767793125,,,,,
0022500003,FatiguePlus_v3,221.75,-10.5,,,,,
0022500003,InjuryModel_v2,221.75,-10.5,,,,,
0022500003,Joel_Baseline_v1,221.75,-10.5,,,,,
0022500003,MarketBlend_v1,,,,,,,
0022500003,MarketPressure_v2,221.75,-10.5,,,,,
0022500003,Momentum5Game_v1,,,,,,,
0022500003,MonkeyDarts_v2,225.47044671294077,-15.239344557994503,,,,,
0022500004,FatiguePlus_v3,220.5,2.0,,,,,
0022500004,InjuryModel_v2,220.5,2.0,,,,,
0022500004,Joel_Baseline_v1,220.5,2.0,,,,,
0022500004,MarketBlend_v1,,,,,,,
0022500004,MarketPressure_v2,220.5,2.0,,,,,
0022500004,Momentum5Game_v1,,,,,,,
0022500004,MonkeyDarts_v2,219.8361038098467,4.736851662508757,,,,,
0022500005,FatiguePlus_v3,221.935,-1.3250000000000002,,,,,
0022500005,InjuryModel_v2,223.375,-0.625,,,,,
0022500005,Joel_Baseline_v1,223.375,-0.625,,,,,
0022500005,MarketBlend_v1,,,,,,,
0022500005,MarketPressure_v2,223.375,-0.625,,,,,
0022500005,Momentum5Game_v1,,,,,,,
0022500005,MonkeyDarts_v2,224.92380576377496,-0.8208263758673358,,,,,
0022500006,FatiguePlus_v3,211.64666666666668,0.36666666666667147,,,,,
0022500006,InjuryModel_v2,212.66666666666669,-0.3333333333333286,,,,,
0022500006,Joel_Baseline_v1,212.66666666666669,-0.3333333333333286,,,,,
0022500006,MarketBlend_v1,,,,,,,
0022500006,MarketPressure_v2,212.66666666666669,-0.3333333333333286,,,,,
0022500006,Momentum5Game_v1,224.4,-0.4,,,,,
0022500006,MonkeyDarts_v2,203.48553892416587,7.8237454232255175,,,,,
0022500007,FatiguePlus_v3,230.455,-11.625,,,,,
0022500007,InjuryModel_v2,232.375,-11.625,,,,,
0022500007,Joel_Baseline_v1,232.375,-11.625,,,,,
0022500007,MarketBlend_v1,,,,,,,
0022500007,MarketPressure_v2,232.375,-11.625,,,,,
0022500007,Momentum5Game_v1,229.8,-1.8,,,,,
0022500007,MonkeyDarts_v2,230.38922762347298,-18.65673273236527,,,,,
0022500008,FatiguePlus_v3,229.595,1.725,,,,,
0022500008,InjuryModel_v2,231.875,-0.375,,,,,
0022500008,Joel_Baseline_v1,231.875,-0.375,,,,,
0022500008,MarketBlend_v1,,,,,,,
0022500008,MarketPressure_v2,231.875,-0.375,,,,,
0022500008,Momentum5Game_v1,231.0,6.0,,,,,
0022500008,MonkeyDarts_v2,226.7848193472158,-3.5969145987765296,,,,,
0022500009,FatiguePlus_v3,235.12714285714287,-5.321428571428584,,,,,
0022500009,InjuryModel_v2,235.60714285714286,-5.321428571428584,,,,,
0022500009,Joel_Baseline_v1,235.60714285714286,-5.321428571428584,,,,,
0022500009,MarketBlend_v1,,,,,,,
0022500009,MarketPressure_v2,235.60714285714286,-5.321428571428584,,,,,
0022500009,Momentum5Game_v1,242.2,-0.4,,,,,
0022500009,MonkeyDarts_v2,239.89060556441711,-7.62051356680348,,,,,
0022500010,FatiguePlus_v3,229.7243343653251,-6.120743034055721,,,,,
0022500010,InjuryModel_v2,230.20433436532508,-6.120743034055721,,,,,
0022500010,Joel_Baseline_v1,230.20433436532508,-6.120743034055721,,,,,
0022500010,MarketBlend_v1,,,,,,,
0022500010,MarketPressure_v2,230.20433436532508,-6.120743034055721,,,,,
0022500010,Momentum5Game_v1,227.5,6.3,,,,,
0022500010,MonkeyDarts_v2,222.6145143501982,-1.3115162944970216,,,,,
0022500011,FatiguePlus_v3,227.68041666666664,-5.797916666666666,,,,,
0022500011,InjuryModel_v2,228.23541666666665,-5.360416666666666,,,,,
0022500011,Joel_Baseline_v1,228.23541666666665,-5.360416666666666,,,,,
0022500011,MarketBlend_v1,,,,,,,
0022500011,MarketPressure_v2,228.23541666666665,-5.360416666666666,,,,,
